g0a,g0b,g1a,g1b,h0a,h0b,h1a,h1b
0,0.03516383657,-0.03516383657,0,0.03516383657,0,0,-0.03516383657
0,0,0,0,0,0,0,0
-0.1143018371,-0.08832942445,0.08832942445,-0.1143018371,-0.08832942445,-0.1143018371,-0.1143018371,0.08832942445
0,0.2338903206,0.2338903206,0,0.2338903206,0,0,0.2338903206
0.5875182977,0.7602723691,-0.7602723691,0.5875182977,0.7602723691,0.5875182977,0.5875182977,-0.7602723691
0.7602723691,0.5875182977,0.5875182977,-0.7602723691,0.5875182977,0.7602723691,-0.7602723691,0.5875182977
0.2338903206,0,0,0.2338903206,0,0.2338903206,0.2338903206,0
-0.08832942445,-0.1143018371,-0.1143018371,0.08832942445,-0.1143018371,-0.08832942445,0.08832942445,-0.1143018371
0,0,0,0,0,0,0,0
0.03516383657,0,0,-0.03516383657,0,0.03516383657,-0.03516383657,0
